name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Colfax,5402,Valid,"Iron, IAB-ung",2300.0,Found,1880,35.3,-81.73333000000002,"(35.3, -81.73333)",US,United States,Americas,Northern America,
Colomera,5404,Valid,"Iron, IIE",134000.0,Found,1912,37.43333,-3.65,"(37.43333, -3.65)",ES,Spain,Europe,Southern Europe,
Colonia Obrera,5405,Valid,"Iron, IIIE",12200.0,Found,1973,24.01667,-104.66667,"(24.01667, -104.66667)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Colton,5410,Valid,"Iron, IIIAB",19670.0,Found,1993,46.57056,-117.09861000000001,"(46.57056, -117.09861)",US,United States,Americas,Northern America,
Comanche (iron),5414,Valid,"Iron, IAB-sLL",19700.0,Found,1940,32.01667,-98.7,"(32.01667, -98.7)",US,United States,Americas,Northern America,
Cookeville,5431,Valid,"Iron, IAB-ung",2300.0,Found,1913,36.16667,-85.51666999999998,"(36.16667, -85.51667)",US,United States,Americas,Northern America,
Coopertown,5438,Valid,"Iron, IIIE",16800.0,Found,1860,36.43333,-87.0,"(36.43333, -87.0)",US,United States,Americas,Northern America,
Corrizatillo,5448,Valid,"Iron, IAB complex",1328.0,Found,1884,-26.03333,-70.33333,"(-26.03333, -70.33333)",CL,Chile,Americas,Latin America and the Caribbean,South America
Costilla Peak,5453,Valid,"Iron, IIIAB",35500.0,Found,1881,36.83333,-105.23333000000001,"(36.83333, -105.23333)",US,United States,Americas,Northern America,
Cotopaxi,30451,Valid,"Iron, IAB-ung",243.0,Found,2000,38.46483,-105.7015,"(38.46483, -105.7015)",US,United States,Americas,Northern America,
Cowell,5457,Valid,"Iron, IIIAB",5717.0,Found,1932,-33.3,136.01667,"(-33.3, 136.01667)",AU,Australia,Oceania,Australia and New Zealand,
Cowra,5458,Valid,"Iron, ungrouped",5560.0,Found,1888,-33.85,148.68333,"(-33.85, 148.68333)",AU,Australia,Oceania,Australia and New Zealand,
Cranberry Plains,5462,Valid,"Iron, IVA",90.0,Found,1852,37.23333,-80.73333000000002,"(37.23333, -80.73333)",US,United States,Americas,Northern America,
Cratheús (1931),5466,Valid,"Iron, IVA",27500.0,Found,1914,-5.25,-40.5,"(-5.25, -40.5)",BR,Brazil,Americas,Latin America and the Caribbean,South America
Cruz del Aire,5478,Valid,"Iron, ungrouped",23000.0,Found,1911,26.5,-100.0,"(26.5, -100.0)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Cruz del Eje,51739,Valid,"Iron, IAB complex",14000.0,Found,1971,-30.75,-64.78333,"(-30.75, -64.78333)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Cumpas,5497,Valid,"Iron, IIIAB",28600.0,Found,1903,30.0,-109.66667,"(30.0, -109.66667)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Dadin,5503,Valid,Iron,27300.0,Found,1949,-38.91667,-69.2,"(-38.91667, -69.2)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Dalton,5509,Valid,"Iron, IIIAB",53000.0,Found,1879,34.8,-84.98333000000002,"(34.8, -84.98333)",US,United States,Americas,Northern America,
Dar al Gani 406,5954,Valid,"Iron, IAB complex",5100.0,Found,1998,28.14033,15.82383,"(28.14033, 15.82383)",LY,Libya,Africa,Northern Africa,
Davis Mountains,6615,Valid,"Iron, IIIAB",689000.0,Found,1903,30.75,-104.25,"(30.75, -104.25)",US,United States,Americas,Northern America,
De Hoek,6622,Valid,"Iron, ungrouped",20930.0,Found,1960,-29.383329999999997,23.1,"(-29.38333, 23.1)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Deep Springs,6637,Valid,"Iron, ungrouped",11500.0,Found,1846,36.5,-79.75,"(36.5, -79.75)",US,United States,Americas,Northern America,
Dehesa,6638,Valid,"Iron, ungrouped",280.0,Found,1866,-33.5,-70.5,"(-33.5, -70.5)",CL,Chile,Americas,Latin America and the Caribbean,South America
Delegate,6641,Valid,"Iron, IIIAB-an",27700.0,Found,1904,-37.0,149.03333,"(-37.0, 149.03333)",AU,Australia,Oceania,Australia and New Zealand,
Dellys,6643,Valid,Iron,76.0,Found,1865,36.91667,3.91667,"(36.91667, 3.91667)",DZ,Algeria,Africa,Northern Africa,
Denton County,6659,Valid,"Iron, IIIAB",5400.0,Found,1856,33.0,-97.0,"(33.0, -97.0)",US,United States,Americas,Northern America,
Denver City,6661,Valid,"Iron, ungrouped",26100.0,Found,1975,33.07139,-102.80028,"(33.07139, -102.80028)",US,United States,Americas,Northern America,
Deport,6662,Valid,"Iron, IAB-sLL",15000.0,Found,1926,33.51667,-95.3,"(33.51667, -95.3)",US,United States,Americas,Northern America,
Dermbach,6665,Valid,"Iron, ungrouped",1500.0,Found,1924,50.71667,10.11667,"(50.71667, 10.11667)",DE,Germany,Europe,Western Europe,
Dexter,6697,Valid,"Iron, IIIAB",1724.0,Found,1889,33.81667,-97.0,"(33.81667, -97.0)",US,United States,Americas,Northern America,
Dimitrovgrad,7644,Valid,"Iron, IIIAB",100000.0,Found,1949,43.04639,22.863889999999998,"(43.04639, 22.86389)",RS,Serbia,Europe,Southern Europe,
Djebel In-Azzene,7655,Valid,"Iron, IIIAB",12500.0,Found,1990,27.86667000000001,0.45,"(27.86667, 0.45)",DZ,Algeria,Africa,Northern Africa,
Dor el Gani,7711,Valid,"Iron, IIIAB",2575.0,Found,1972,26.95833,16.03333,"(26.95833, 16.03333)",LY,Libya,Africa,Northern Africa,
